ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,107920891129,37,0210,000000,GPMPOS,164540,0,0,0,164540
0012,952626673524,21,0210,000000,GPMPOS,119070,0,0,0,119070
0012,772892097078,10,0210,000000,GPMPOS,209000,3689,702,4391,204609
0012,136800711437,27,0210,000000,GPMPOS,92800,1451,278,1724,91076
0012,769590980441,11,0210,000000,GPMPOS,36420,543,104,647,35773
0012,113220560340,27,0210,000000,GPMPOS,166140,2475,471,2946,163194
0012,637752288387,39,0210,000000,GPMPOS,356400,5309,1010,6321,350079
0012,899592441754,12,0210,000000,GPMPOS,28272,423,80,499,27773
0012,128059438940,20,0210,000000,GPMPOS,59920,907,171,1079,58841
0012,127011431117,4,0210,000000,GPMPOS,14700,0,0,0,14700
0012,143372011449,1,0210,000000,GPMPOS,850,13,2,15,835
0012,136588177339,16,0210,000000,GPMPOS,68620,1023,195,1215,67405
0012,185895439605,4,0210,000000,GPMPOS,16700,248,47,297,16403
0012,129812671894,26,0210,000000,GPMPOS,111900,1669,318,1984,109916
0012,211931930838,63,0210,000000,GPMPOS,276050,4159,790,4948,271102
0012,113638704026,17,0210,000000,GPMPOS,69030,1027,195,1224,67806
0012,172864926142,40,0210,000000,GPMPOS,157150,2403,458,2854,154296
0012,151171744775,2,0210,000000,GPMPOS,21000,313,59,372,20628
0012,801183555884,62,0210,000000,GPMPOS,285490,4326,822,5142,280348
0012,987261132782,15,0210,000000,GPMPOS,69560,1037,196,1232,68328
0012,747033517567,91,0210,000000,GPMPOS,317850,4741,901,5634,312216
0012,109790688436,54,0210,000000,GPMPOS,172930,2687,512,3197,169733
0012,146762747115,25,0210,000000,GPMPOS,119690,1872,355,2225,117465
0012,138041240997,62,0210,000000,GPMPOS,353770,0,0,0,353770
0012,161122507160,14,0210,000000,GPMPOS,62260,927,178,1104,61156
0012,117404200567,15,0210,000000,GPMPOS,72850,1086,206,1293,71557
0012,115282705045,4,0210,000000,GPMPOS,14090,210,40,250,13840
0012,143395406147,66,0210,000000,GPMPOS,368830,5714,1086,6799,362031
0012,163938610907,28,0210,000000,GPMPOS,106750,1590,299,1890,104860
0012,105600121307,16,0210,000000,GPMPOS,204451,0,0,0,204451
0012,169104563213,44,0210,000000,GPMPOS,159350,2377,452,2828,156522
0012,193524949425,24,0210,000000,GPMPOS,152400,2273,432,2701,149699
0012,830635520593,4,0210,000000,GPMPOS,8920,134,25,158,8762
0012,770255769152,61,0210,000000,GPMPOS,173250,2599,493,3083,170167
0012,109182794450,53,0210,000000,GPMPOS,199590,0,0,0,199590
0012,109885617595,63,0210,000000,GPMPOS,243010,0,0,0,243010
0012,115803833649,8,0210,000000,GPMPOS,15650,240,45,284,15366
0012,100229771706,59,0210,000000,GPMPOS,302400,4546,869,5411,296989
0012,795977500103,42,0210,000000,GPMPOS,221680,3406,648,4048,217632
0012,114426417878,19,0210,000000,GPMPOS,59120,0,0,0,59120
0012,903967080381,12,0210,000000,GPMPOS,34190,519,100,616,33574
0012,906009868791,31,0210,000000,GPMPOS,92960,1387,265,1645,91315
0012,125489633760,42,0210,000000,GPMPOS,135040,2013,385,2392,132648
0012,250611267718,45,0210,000000,GPMPOS,139550,2145,411,2550,137000
0012,131275821646,32,0210,000000,GPMPOS,126300,1926,372,2293,124007
0012,129645988859,24,0210,000000,GPMPOS,142150,2118,402,2522,139628
0012,892089363046,25,0210,000000,GPMPOS,145370,0,0,0,145370
0012,400377959811,4,0210,000000,GPMPOS,6700,0,0,0,6700
0012,225759486736,15,0210,000000,GPMPOS,89960,1340,254,1596,88364
0012,560049383805,23,0210,000000,GPMPOS,99120,1611,306,1916,97204
0012,842681173499,56,0210,000000,GPMPOS,201990,3009,573,3581,198409
0012,137618024627,5,0210,000000,GPMPOS,10890,163,31,193,10697
0012,982257617416,31,0210,000000,GPMPOS,134260,2001,379,2381,131879
